CLAVEESTAB,n_AUH
0069PP0088,1154
0073PP0084,991
0069PP0210,817
0032PP0007,794
0062PP0016,793
0069PP0197,780
0069PP0106,753
0069PP0137,723
0130PP0007,712
0069PP0202,710
0071PP0015,705
0131PP0021,703
0132PP0033,699
0069PP0179,697
0132PP0021,696
0069PP0196,696
0044PP0021,684
0044PP0014,677
0032PP0064,671
0001PP0026,669
0069PP0184,663
0129PP0007,654
0001PP0041,652
0062PP0094,650
0062PP0092,650
0130PP0016,646
0001PP0061,643
0116PP0021,640
0069PP0040,638
0069PP0126,633
0004PP0031,631
0032PP0035,624
0073PP0022,621
0132PP0031,620
0132PP0037,612
0083PP0030,610
0044PP0010,609
0032PP0041,597
0032PP0008,589
0073PP0069,588
0044PP0012,588
0073PP0029,583
0071PP0007,581
0085PP0065,579
0073PP0062,567
0030PP0056,567
0130PP0024,565
0069PP0195,563
0119PP0056,561
0032PP0044,560
0069PP0097,558
0071PP0056,556
0069PP0057,554
0132PP0020,550
0069PP0122,549
0073PP0014,549
0062PP0089,545
0116PP0023,535
0132PP0006,535
0069PP0031,535
0132PP0027,533
0132PP0013,520
0073PP0019,520
0030PP0039,517
0001PP0021,516
0099PP0015,516
0083PP0023,515
0044PP0007,513
0129PP0005,513
0116PP0025,510
0130PP0019,510
0001PP0039,510
0032PP0045,508
0030PP0010,507
0004PP0062,503
0069PP0199,502
0073PP0047,502
0001PP0123,501
0123PP0006,499
0069PP0120,498
0069PP0138,497
0099PP0009,496
0083PP0040,495
0073PP0050,495
0030PP0011,495
0069PP0194,495
0069PP0144,492
0069PP0165,490
0129PP0013,489
0032PP0061,488
0073PP0051,488
0001PP0028,486
0083PP0014,485
0071PP0018,484
0001PP0119,483
0113PP0014,483
0129PP0001,482
0071PP0055,482
0032PP0003,481
0069PP0209,479
0069PP0067,478
0069PP0105,477
0030PP0027,477
0032PP0017,474
0030PP0030,473
0073PP0053,473
0004PP0024,471
0129PP0012,470
0131PP0018,466
0071PP0004,466
0073PP0064,466
0069PP0130,463
0132PP0016,462
0069PP0161,461
0071PP0041,460
0044PP0006,459
0069PP0107,458
0071PP0032,457
0001PP0084,457
0073PP0041,454
0069PP0216,452
0071PP0070,450
0032PP0036,448
0132PP0009,447
0071PP0017,446
0030PP0007,446
0069PP0163,443
0071PP0049,441
0132PP0030,441
0071PP0054,440
0129PP0008,440
0073PP0068,440
0073PP0027,439
0073PP0020,439
0119PP0031,437
0016PP0006,437
0062PP0046,437
0069PP0066,435
0083PP0007,434
0044PP0015,433
0032PP0050,431
0032PP0069,431
0045PP0037,429
0032PP0059,429
0083PP0047,428
0071PP0074,428
0111PP0077,428
0001PP0083,427
0071PP0058,427
0001PP0062,426
0069PP0124,426
0067PP0014,426
0131PP0023,425
0085PP0032,424
0129PP0010,423
0069PP0041,422
0062PP0085,422
0001PP0050,421
0004PP0037,421
0032PP0009,419
0083PP0004,418
0069PP0191,416
0132PP0015,416
0069PP0201,415
0129PP0003,415
0030PP0002,415
0083PP0035,415
0073PP0031,415
0130PP0005,414
0030PP0017,414
0071PP0005,412
0069PP0172,410
0004PP0082,409
0032PP0039,409
0001PP0063,409
0130PP0002,409
0030PP0054,408
0071PP0039,408
0071PP0068,405
0069PP0110,404
0073PP0015,404
0062PP0067,404
0111PP0035,402
0030PP0005,401
0069PP0076,401
0001PP0052,400
0004PP0049,399
0069PP0127,399
0071PP0064,398
0069PP0213,397
0085PP0033,397
0030PP0018,397
0083PP0034,396
0083PP0041,396
0073PP0039,396
0073PP0056,396
0129PP0002,396
0069PP0175,395
0044PP0016,394
0055PP0018,393
0044PP0001,393
0004PP0023,393
0001PP0116,392
0030PP0050,392
0130PP0014,392
0130PP0022,392
0071PP0071,391
0071PP0021,391
0069PP0011,389
0071PP0069,388
0132PP0017,387
0073PP0082,387
0073PP0067,387
0133PP0028,386
0085PP0080,384
0030PP0004,384
0073PP0043,384
0069PP0139,384
0099PP0001,383
0071PP0025,383
0073PP0066,383
0073PP0010,382
0063PP0009,382
0085PP0011,381
0045PP0075,381
0004PP0004,380
0071PP0020,380
0071PP0012,379
0083PP0015,379
0001PP0048,379
0062PP0095,379
0069PP0187,378
0062PP0065,378
0069PP0103,378
0132PP0004,377
0005PP0069,376
0071PP0072,376
0111PP0056,375
0071PP0059,375
0069PP0108,374
0004PP0070,374
0083PP0010,373
0062PP0043,372
0071PP0078,372
0083PP0024,372
0044PP0013,372
0071PP0024,371
0004PP0076,370
0032PP0057,370
0073PP0063,369
0069PP0193,369
0132PP0023,368
0069PP0204,368
0004PP0033,368
0132PP0024,367
0123PP0004,366
0032PP0062,366
0069PP0032,366
0083PP0039,366
0055PP0005,366
0073PP0052,365
0073PP0081,365
0005PP0008,364
0062PP0011,364
0004PP0009,362
0114PP0006,362
0083PP0033,362
0129PP0009,361
0071PP0067,361
0071PP0046,361
0123PP0003,360
0001PP0020,360
0119PP0025,360
0099PP0012,359
0071PP0050,358
0062PP0063,358
0069PP0056,358
0073PP0057,357
0133PP0007,356
0073PP0026,356
0085PP0001,355
0001PP0013,355
0132PP0040,354
0073PP0002,354
0069PP0157,354
0131PP0032,353
0071PP0013,353
0055PP0054,352
0001PP0057,352
0116PP0010,351
0083PP0048,351
0130PP0018,351
0099PP0023,351
0062PP0082,350
0005PP0051,350
0129PP0011,349
0045PP0013,348
0133PP0027,348
0069PP0077,348
0071PP0077,346
0123PP0010,346
0001PP0058,346
4129PP0861,346
0032PP0063,345
0004PP0044,345
0083PP0005,345
0083PP0011,345
0004PP0073,344
0001PP0040,344
0085PP0057,342
0073PP0032,342
0069PP0039,341
0004PP0036,341
0069PP0063,341
0119PP0014,340
0085PP0087,340
0083PP0013,339
0071PP0065,339
0073PP0055,338
0083PP0017,338
0030PP0046,338
0069PP0183,337
0030PP0055,337
0130PP0010,337
0030PP0041,336
0119PP0012,336
0085PP0052,335
0130PP0020,335
0119PP0010,335
0001PP0042,335
0062PP0087,334
0030PP0037,333
0071PP0006,332
0073PP0061,332
0073PP0034,332
0001PP0032,332
0131PP0017,331
0132PP0022,331
0069PP0055,331
0004PP0051,331
0073PP0042,331
0071PP0037,330
0069PP0129,329
0132PP0032,329
0062PP0086,328
0030PP0042,328
0083PP0009,327
0124PP0002,327
0030PP0026,326
0032PP0027,326
0069PP0203,326
0073PP0003,325
0085PP0062,325
0133PP0006,325
0073PP0040,325
0131PP0001,324
0073PP0008,323
0004PP0054,323
0071PP0033,322
0132PP0038,321
0133PP0008,321
0071PP0023,321
0062PP0018,321
0131PP0011,320
0073PP0021,320
0001PP0056,320
0032PP0067,319
0069PP0078,319
0073PP0072,319
0116PP0027,319
0119PP0007,319
0071PP0066,318
0055PP0053,318
0069PP0068,317
0085PP0053,317
0032PP0043,315
0133PP0026,314
0116PP0005,314
0069PP0141,314
0032PP0030,313
0071PP0026,313
0071PP0019,313
0132PP0010,312
0005PP0032,312
0032PP0054,312
0073PP0001,312
0116PP0024,311
0030PP0048,311
0130PP0013,311
0073PP0065,311
0131PP0034,310
0083PP0020,310
0005PP0055,310
0133PP0029,309
0083PP0012,309
0032PP0018,309
0073PP0080,309
0069PP0133,308
0069PP0069,308
0062PP0088,308
4085PP0485,308
0083PP0036,307
0116PP0009,307
4069PP3146,307
0001PP0019,307
0083PP0028,307
0067PP0016,306
0069PP0145,306
0116PP0006,306
0069PP0014,306
0099PP0026,306
0073PP0079,306
0055PP0019,306
0001PP0027,305
0083PP0016,305
0069PP0058,304
0071PP0016,304
0130PP0017,304
0004PP0074,304
0032PP0026,304
0045PP0049,304
0116PP0035,303
0032PP0012,303
0131PP0013,303
0062PP0090,303
0111PP0037,301
0044PP0002,301
0133PP0014,301
0124PP0004,300
0001PP0003,299
0119PP0054,299
0069PP0158,299
0085PP0084,298
0004PP0008,298
0085PP0042,298
0132PP0001,298
0083PP0032,298
0085PP0072,297
4069PP0370,297
0001PP0059,297
0069PP0095,297
0085PP0078,296
0132PP0003,296
0004PP0068,296
0099PP0008,296
0133PP0011,296
0069PP0169,295
0132PP0029,294
0071PP0076,294
0069PP0208,294
0113PP0024,293
0085PP0059,293
0071PP0040,293
0083PP0049,293
0071PP0052,293
0062PP0053,292
0132PP0034,292
0069PP0099,291
0083PP0046,291
0030PP0019,291
0043PP0033,291
0083PP0044,291
0069PP0156,291
0044PP0023,290
0132PP0012,290
0100PP0080,290
0055PP0028,290
0067PP0002,290
0123PP0001,290
0055PP0004,290
0133PP0021,290
0085PP0068,289
0045PP0028,288
4062PP7669,288
0116PP0013,287
0033PP0001,286
0071PP0063,286
0073PP0070,286
0004PP0003,286
0085PP0027,286
0030PP0015,286
0032PP0031,286
0045PP0050,285
0062PP0058,285
0100PP0102,285
0062PP0078,285
0004PP0060,285
0069PP0186,284
0130PP0008,284
0069PP0059,284
4062PP0932,284
0069PP0034,284
0083PP0038,283
0069PP0160,283
0083PP0027,282
0032PP0055,282
0062PP0098,282
0099PP0027,282
0069PP0006,282
0071PP0027,281
0069PP0188,281
0062PP0077,281
0116PP0026,281
0116PP0012,281
0085PP0076,281
0032PP0056,280
0073PP0073,280
0067PP0001,280
0136PP0014,280
0030PP0012,280
0132PP0036,280
0069PP0018,280
0062PP0012,279
0085PP0048,278
0004PP0066,278
0055PP0025,278
0069PP0081,278
0099PP0004,278
0132PP0028,278
0004PP0038,278
0073PP0048,278
0069PP0211,278
0030PP0016,278
0085PP0050,277
0032PP0020,277
0062PP0060,277
0062PP0083,277
0005PP0063,276
0004PP0072,276
0044PP0017,276
0001PP0016,275
0117PP0041,275
0135PP0031,275
0071PP0062,274
0032PP0049,274
0119PP0003,274
0133PP0025,274
0004PP0010,274
0069PP0121,273
0032PP0046,273
0073PP0033,272
0073PP0036,272
0071PP0036,272
0081PP0004,272
0062PP0093,272
0123PP0005,272
0116PP0015,272
0119PP0022,271
0016PP0011,271
0111PP0053,271
4132PP1946,271
0133PP0020,271
0073PP0018,270
0073PP0005,270
0071PP0034,270
0116PP0007,269
0044PP0011,269
0055PP0041,269
0005PP0020,268
0069PP0198,268
0001PP0011,268
0043PP0071,268
0069PP0002,268
0085PP0043,268
0030PP0021,267
0113PP0017,267
0133PP0031,267
0001PP0029,267
0113PP0008,267
0043PP0050,266
0071PP0001,265
0045PP0080,264
0001PP0075,264
0125PP0006,264
0085PP0002,264
0001PP0008,264
0069PP0148,264
0062PP0025,264
0004PP0018,264
0043PP0038,264
0001PP0023,264
0067PP0017,264
0069PP0164,263
0069PP0185,263
0044PP0022,263
0099PP0029,263
0045PP0024,263
0111PP0039,263
0001PP0121,263
0095PP0015,263
0069PP0090,263
0130PP0028,263
0032PP0010,263
0117PP0038,262
0069PP0212,262
0073PP0049,262
0085PP0008,262
0069PP0152,262
0004PP0043,261
4119PP0126,261
0030PP0032,260
0062PP0059,260
0129PP0014,260
0116PP0018,260
0131PP0027,260
0032PP0002,260
0004PP0061,260
0133PP0001,259
0001PP0001,259
0069PP0074,258
0132PP0002,257
0069PP0128,257
0130PP0001,257
0116PP0017,257
0073PP0007,257
0073PP0009,256
0132PP0026,256
0062PP0021,256
0083PP0045,256
0131PP0031,256
0004PP0064,255
0116PP0001,255
0004PP0045,255
0001PP0049,255
0130PP0011,255
0129PP0006,255
0119PP0001,255
0032PP0001,254
0043PP0047,254
0073PP0078,254
0032PP0038,254
0055PP0051,254
0055PP0052,254
0069PP0022,254
0119PP0005,253
0085PP0021,253
0068PP0008,253
0055PP0027,253
0001PP0068,253
0043PP0074,253
0085PP0034,253
0062PP0023,253
0069PP0149,253
0119PP0023,253
0069PP0065,252
0069PP0168,252
0073PP0024,252
0081PP0001,252
0030PP0013,251
0083PP0002,251
0071PP0075,251
0100PP0035,250
0116PP0019,250
0131PP0025,250
0045PP0031,250
0045PP0033,250
4069PP1723,250
0062PP0084,250
4062PP5436,249
0005PP0001,249
0081PP0053,249
0085PP0014,249
0001PP0045,249
0085PP0020,249
0071PP0035,249
0032PP0060,248
0131PP0004,248
4032PP1957,248
0123PP0009,248
0135PP0027,248
0083PP0022,248
0117PP0030,248
0032PP0033,247
0062PP0056,247
0113PP0025,247
0085PP0010,247
0133PP0030,247
0004PP0035,246
0073PP0076,246
0083PP0031,246
0063PP0002,246
0069PP0171,246
0004PP0022,246
0032PP0005,246
0123PP0007,246
0085PP0004,245
0131PP0030,245
0069PP0178,245
0030PP0043,245
0071PP0030,244
0069PP0046,244
0073PP0017,244
0067PP0005,244
0030PP0006,244
0131PP0016,244
0111PP0026,244
0131PP0009,243
0032PP0021,243
0083PP0029,243
0062PP0061,243
0071PP0031,242
3043PP0840,242
0133PP0023,242
0055PP0034,242
0069PP0136,242
0071PP0043,242
0016PP0033,242
0116PP0002,242
0133PP0040,242
0071PP0079,242
0069PP0075,242
0055PP0031,242
0069PP0015,241
0043PP0007,241
0043PP0063,241
0062PP0029,241
0055PP0056,241
0119PP0004,241
0044PP0019,241
0069PP0050,241
0062PP0044,240
0062PP0057,240
0047PP0015,240
0069PP0167,239
0085PP0086,239
0116PP0016,239
0069PP0096,239
0111PP0041,239
0055PP0033,239
0073PP0004,238
0055PP0032,238
0062PP0038,238
0119PP0002,237
0032PP0006,237
0069PP0150,237
0069PP0174,237
0055PP0006,236
0043PP0075,236
0100PP0071,236
0071PP0029,235
0005PP0052,235
0125PP0002,235
0016PP0028,235
0085PP0007,235
0015PP0019,235
0085PP0079,234
0004PP0021,234
0069PP0054,234
0032PP0052,234
3043PP1613,234
0111PP0060,234
0001PP0035,234
0001PP0010,233
0099PP0006,233
0085PP0019,233
0085PP0063,233
0073PP0030,232
0083PP0025,232
0004PP0057,232
0004PP0017,232
0062PP0073,231
0096PP0016,231
0119PP0009,231
0001PP0072,231
4073PP3782,231
0111PP0001,230
0030PP0008,230
0073PP0060,230
0071PP0008,230
0069PP0070,230
3043PP1388,230
0073PP0083,229
4131PP0249,228
0004PP0048,228
0095PP0008,228
0032PP0019,228
0116PP0028,228
0083PP0001,227
0132PP0007,227
0073PP0037,227
0045PP0021,227
0117PP0042,227
0085PP0071,226
0119PP0017,226
0119PP0038,226
0045PP0034,226
0071PP0009,226
0130PP0023,226
0069PP0125,226
0133PP0032,225
0030PP0047,225
0032PP0015,225
0133PP0016,225
0004PP0067,225
0071PP0003,225
0071PP0002,225
0130PP0021,225
0045PP0001,225
0067PP0015,224
0016PP0003,224
0001PP0125,224
0016PP0035,224
0016PP0025,224
0055PP0026,223
0073PP0059,223
0063PP0021,223
0062PP0026,223
3043PP1951,223
0111PP0018,223
0071PP0011,223
4004PP1834,223
0069PP0135,222
0055PP0002,222
0132PP0019,222
0073PP0071,221
0043PP0022,221
0032PP0025,221
0111PP0006,221
0111PP0074,221
0133PP0022,221
0083PP0050,221
0069PP0019,221
0032PP0011,221
0004PP0028,220
0055PP0047,220
0133PP0024,220
0005PP0061,220
3043PP0845,220
0004PP0040,220
0047PP0009,219
0055PP0020,219
0030PP0014,219
0085PP0037,219
0073PP0075,219
4032PP0921,219
0069PP0217,218
0132PP0039,218
0043PP0036,218
0099PP0031,218
0071PP0057,218
0004PP0046,218
0100PP0048,218
0085PP0085,218
4062PP7960,218
0047PP0029,217
0136PP0001,217
0043PP0045,217
0069PP0134,217
0004PP0019,217
0117PP0036,217
0032PP0023,217
0131PP0022,216
0113PP0022,216
0083PP0021,216
4069PP0368,216
0069PP0094,216
0110PP0011,215
0095PP0037,215
0075PP0025,215
0055PP0021,215
0063PP0014,215
0045PP0015,215
0043PP0019,215
0069PP0064,215
0119PP0043,214
0085PP0018,214
0073PP0023,214
0102PP0001,214
0004PP0020,214
0043PP0056,213
0133PP0039,213
0045PP0007,213
0067PP0012,213
0085PP0030,213
0069PP0170,213
0114PP0001,213
0085PP0054,213
0073PP0074,212
0062PP0068,212
0044PP0018,212
0085PP0017,212
0071PP0045,212
0111PP0048,212
0043PP0067,212
0116PP0030,212
0005PP0010,212
0069PP0084,212
0069PP0154,212
0004PP0078,211
0098PP0006,211
0136PP0004,211
0073PP0011,211
0085PP0055,211
0136PP0010,211
0135PP0009,211
0069PP0111,211
0043PP0034,210
0005PP0046,210
0085PP0064,210
