firstname,lastname,email,emailstatus,language,sent,remindersent,remindercount,usesleft,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,id,token,submitdate,startlanguage,startdate,datestamp,ipaddr,refurl,turno,IM1a,prioridad_seccion,IM3,IM3a,IM4,IM5,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,PL0,PL1,PL2,PL3,PL4,PL5,PL6,PL7,PL8,PL9,PL10,PL11,PL12,PL13,clave,sector_superv,g3_inas_anio3_mas38_porc,g6_pdlmate_rgdes_anio3_porc,Region,nombreDistrito,conauh_A,tercil_AUH,MatrículaInicial2025,Ambito,ira_mat,ira_pl,anio,NSE,pi_1,pi_2,pi_3,pi_total_estudiante,weight_design,prob_respuesta,inv_no_respuesta,weight_no_respuesta,weight_calibrate
60888600,60888600,diegoparedes.060888600@abc.gob.ar,OK,es,N,N,0,-20,,"El CUE-Anexo 060888600  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ""VICENTE LOPEZ Y PLANES""",1,La Plata,Estatal,Oficial,60888600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ""VICENTE LOPEZ Y PLANES""",87,3,Urbano,1680,60888600,2026-03-09T08:23:03Z,es,2026-03-09T08:20:40Z,2026-03-09T08:23:03Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,2,NA,Principal,3,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,N,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,"No, ausente",0001PP0016,Estatal,58.333333333333336,14.285714285714286,01,La Plata,49.63898916967509,3,560,Urbano,NA,NA,3,Bajo,0.0902396920867146,0.25287356321839083,0.9545454545454546,0.02178199464162077,45.90947782574568,0.7480971172554572,1.3367248408451278,61.36833943990282,53.07735947180327
60287800,60287800,diegoparedes.060287800@abc.gob.ar,OK,es,N,N,0,-8,,"El CUE-Anexo 060287800  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº26 ""MAGDALENA GÜEMES DE TE",1,La Plata,Estatal,Oficial,60287800,"ESCUELA DE EDUCACIÓN PRIMARIA Nº26 ""MAGDALENA GÜEMES DE TEJADA""",195,5,Urbano,750,60287800,2026-03-04T13:33:07Z,es,2026-03-04T13:31:49Z,2026-03-04T13:33:07Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Principal,3,NA,1,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,0001PP0026,Estatal,40.217391304347828,5.4347826086956523,01,La Plata,60,3,1159,Urbano,NA,NA,3,Bajo,0.18676393415803969,0.19487179487179487,0.23684210526315788,0.008619873884217215,116.01097805282004,0.6572085058043204,1.521587123672656,176.52081040984206,201.23461865281706
60889700,60889700,diegoparedes.060889700@abc.gob.ar,OK,es,N,N,0,-7,,"El CUE-Anexo 060889700  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº107 ""GENERAL ENRIQUE MOSCON",1,La Plata,Estatal,Oficial,60889700,"ESCUELA DE EDUCACIÓN PRIMARIA Nº107 ""GENERAL ENRIQUE MOSCONI""",45,14,Urbano,3020,60889700,2026-03-13T08:32:44Z,es,2026-03-13T08:30:55Z,2026-03-13T08:32:44Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Principal,1,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A1,1,2,4,1,3,1,1,3,4,2,A1,2,,0001PP0107,Estatal,56.521739130434781,2.1739130434782608,01,La Plata,58.303886925795055,3,284,Urbano,NA,77.27272727272727,3,Bajo,1,0.5111111111111111,0.34782608695652173,0.17777777777777776,5.625000000000001,0.750983855481949,1.331586548366267,7.490174334560253,6.27906812157496
60287400,60287400,diegoparedes.060287400@abc.gob.ar,OK,es,N,N,0,-23,,"El CUE-Anexo 060287400  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº123 ""ESTADOS UNIDOS DEL BRA",1,La Plata,Estatal,Oficial,60287400,"ESCUELA DE EDUCACIÓN PRIMARIA Nº123 ""ESTADOS UNIDOS DEL BRASIL""",102,15,Urbano,3878,60287400,2026-03-19T18:56:08Z,es,2026-03-19T18:54:31Z,2026-03-19T18:56:08Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Principal,1,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A1,5,3,4,1,5,1,1,5,3,3,A3,1,,0001PP0123,Estatal,50,19.444444444444443,01,La Plata,69.79020979020979,3,735,Urbano,NA,27.27272727272727,3,Bajo,0.11843959586381292,0.27450980392156865,0.42857142857142855,0.01393407010162505,71.76654004944153,0.6755131179931109,1.4803561520328585,106.2400390723033,117.94328072824591
60486000,60486000,diegoparedes.060486000@abc.gob.ar,OK,es,N,N,0,-10,,"El CUE-Anexo 060486000  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""JUAN BAUTISTA ALBERDI""",23,Adolfo Alsina,Estatal,Oficial,60486000,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""JUAN BAUTISTA ALBERDI""",25,16,Urbano,1492,60486000,2026-03-07T19:58:47Z,es,2026-03-07T19:57:12Z,2026-03-07T19:58:47Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,3,NA,Principal,1,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A1,2,1,2,1,1,1,1,1,1,1,A1,1,,0002PP0003,Estatal,0,0,23,Adolfo Alsina,12.269938650306749,1,172,Urbano,NA,100,3,Alto,0.634430155215647,1,0.44,0.2791492682948847,3.582312811021345,0.6413351761097376,1.559247078985875,5.585710786598711,0.5501346118416515
60866600,60866600,diegoparedes.060866600@abc.gob.ar,OK,es,N,N,0,-43,,"El CUE-Anexo 060866600  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",5,Almirante Brown,Estatal,Oficial,60866600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",128,17,Urbano,74,60866600,2026-02-27T16:00:55Z,es,2026-02-27T15:59:33Z,2026-02-27T16:00:55Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Suplente,2,NA,1,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,0004PP0003,Estatal,63.492063492063494,19.841269841269842,05,Almirante Brown,39.86666666666667,2,753,Urbano,NA,NA,3,Medio,0.12134015739517161,0.203125,0.7307692307692307,0.018011429613345783,55.5203013568139,0.36895510680470234,2.710356847098274,150.47982893540015,172.96862748499169
60866600,60866600,diegoparedes.060866600@abc.gob.ar,OK,es,N,N,0,-43,,"El CUE-Anexo 060866600  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",5,Almirante Brown,Estatal,Oficial,60866600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",128,17,Urbano,80,60866600,2026-02-27T16:28:43Z,es,2026-02-27T16:23:04Z,2026-02-27T16:28:43Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Suplente,2,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,0004PP0003,Estatal,63.492063492063494,19.841269841269842,05,Almirante Brown,39.86666666666667,2,753,Urbano,NA,NA,3,Medio,0.12134015739517161,0.203125,0.7307692307692307,0.018011429613345783,55.5203013568139,0.36895510680470234,2.710356847098274,150.47982893540015,178.10736750900577
60866600,60866600,diegoparedes.060866600@abc.gob.ar,OK,es,N,N,0,-43,,"El CUE-Anexo 060866600  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",5,Almirante Brown,Estatal,Oficial,60866600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",128,17,Urbano,81,60866600,2026-02-27T16:30:01Z,es,2026-02-27T16:29:19Z,2026-02-27T16:30:00Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Suplente,2,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,0004PP0003,Estatal,63.492063492063494,19.841269841269842,05,Almirante Brown,39.86666666666667,2,753,Urbano,NA,NA,3,Medio,0.12134015739517161,0.203125,0.7307692307692307,0.018011429613345783,55.5203013568139,0.36895510680470234,2.710356847098274,150.47982893540015,187.41439894262467
60866600,60866600,diegoparedes.060866600@abc.gob.ar,OK,es,N,N,0,-43,,"El CUE-Anexo 060866600  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",5,Almirante Brown,Estatal,Oficial,60866600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",128,17,Urbano,82,60866600,2026-02-27T16:31:03Z,es,2026-02-27T16:30:13Z,2026-02-27T16:31:03Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,1,NA,Suplente,2,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,0004PP0003,Estatal,63.492063492063494,19.841269841269842,05,Almirante Brown,39.86666666666667,2,753,Urbano,NA,NA,3,Medio,0.12134015739517161,0.203125,0.7307692307692307,0.018011429613345783,55.5203013568139,0.36895510680470234,2.710356847098274,150.47982893540015,163.66159605137275
60866600,60866600,diegoparedes.060866600@abc.gob.ar,OK,es,N,N,0,-43,,"El CUE-Anexo 060866600  corresponde a: ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",5,Almirante Brown,Estatal,Oficial,60866600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº3 ""BERNARDINO RIVADAVIA""",128,17,Urbano,91,60866600,2026-02-27T16:57:33Z,es,2026-02-27T16:56:55Z,2026-02-27T16:57:33Z,10.20.1.191,http://siri.abc.gov.ar/index.php/743224,2,NA,Suplente,4,NA,2,,A2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,0004PP0003,Estatal,63.492063492063494,19.841269841269842,05,Almirante Brown,39.86666666666667,2,753,Urbano,NA,NA,3,Medio,0.12134015739517161,0.203125,0.7307692307692307,0.018011429613345783,55.5203013568139,0.36895510680470234,2.710356847098274,150.47982893540015,119.96036344807044
