"Region","Distrito","Clave","Area","Sector","Dependencia","Nivel","matricula","Secciones 
Inicial 2026","afectacion_paros","nivel_unificado","afectacion_num","n_final","prob_inclusion","ponderador"
"01","La Plata","0001JI0931","AMBA","Estatal","Oficial","1.2.Inicial",66,6,"0","Inicial",0,657,0.175864376533571,5.68619989852867
"01","La Plata","0001JI0944","AMBA","Estatal","Oficial","1.2.Inicial",164,8,"0","Inicial",0,657,0.436996329568268,2.28834873965178
"05","Almirante Brown","0004JU0002","AMBA","Estatal","Oficial","1.2.Inicial",147,6,"0","Inicial",0,657,0.391697929552045,2.55298770954348
"02","Avellaneda","0005JI0911","AMBA","Estatal","Oficial","1.2.Inicial",140,8,"0","Inicial",0,657,0.373045647192424,2.68063709502066
"01","Brandsen","0014JI0904","AMBA","Estatal","Oficial","1.2.Inicial",170,10,"0","Inicial",0,657,0.452984000162229,2.20758349001701
"11","Campana","0015JI0918","AMBA","Estatal","Oficial","1.2.Inicial",220,10,"0","Inicial",0,657,0.586214588445238,1.7058599695586
"11","Exaltación de la Cruz","0031JI0901","AMBA","Estatal","Oficial","1.2.Inicial",216,12,"0","Inicial",0,657,0.575556141382597,1.73744996899487
"04","Florencio Varela","0032JI0918","AMBA","Estatal","Oficial","1.2.Inicial",180,8,"0","Inicial",0,657,0.479630117818831,2.08493996279384
"10","General Rodríguez","0044JI0919","AMBA","Estatal","Oficial","1.2.Inicial",127,7,"0","Inicial",0,657,0.338405694238842,2.95503301813301
"07","General San Martín","0045JI0911","AMBA","Estatal","Oficial","1.2.Inicial",139,9,"0","Inicial",0,657,0.370381035426764,2.69992225397764
"07","General San Martín","0045JI0922","AMBA","Estatal","Oficial","1.2.Inicial",88,6,"0","Inicial",0,657,0.234485835378095,4.2646499238965
"07","General San Martín","0045JI0929","AMBA","Estatal","Oficial","1.2.Inicial",287,12,"0","Inicial",0,657,0.764743576744469,1.30762785122959
"07","General San Martín","0045JI0936","AMBA","Estatal","Oficial","1.2.Inicial",194,8,"0","Inicial",0,657,0.516934682538073,1.93448037784996
"11","Zárate","0047JI0901","AMBA","Estatal","Oficial","1.2.Inicial",178,8,"0","Inicial",0,657,0.47430089428751,2.10836625451063
"11","Zárate","0047JI0916","AMBA","Estatal","Oficial","1.2.Inicial",188,8,"0","Inicial",0,657,0.500947011944112,1.99621911331326
"06","Tigre","0055JI0906","AMBA","Estatal","Oficial","1.2.Inicial",200,10,"0","Inicial",0,657,0.532922353132034,1.87644596651446
"02","Lomas de Zamora","0062JU0001","AMBA","Estatal","Oficial","1.2.Inicial",127,6,"0","Inicial",0,657,0.338405694238842,2.95503301813301
"02","Lomas de Zamora","0062JU0005","AMBA","Estatal","Oficial","1.2.Inicial",86,4,"0","Inicial",0,657,0.229156611846775,4.36382782910339
"02","Lomas de Zamora","0062JU0009","AMBA","Estatal","Oficial","1.2.Inicial",133,8,"0","Inicial",0,657,0.354393364832803,2.82172325791648
"03","La Matanza","0069JI0920","AMBA","Estatal","Oficial","1.2.Inicial",148,8,"0","Inicial",0,657,0.394362541317705,2.53573779258711
"03","La Matanza","0069JI0939","AMBA","Estatal","Oficial","1.2.Inicial",35,4,"0","Inicial",0,657,0.093261411798106,10.7225483800826
"03","La Matanza","0069JI0956","AMBA","Estatal","Oficial","1.2.Inicial",41,3,"0","Inicial",0,657,0.109249082392067,9.15339495860712
"03","La Matanza","0069JI0979","AMBA","Estatal","Oficial","1.2.Inicial",312,12,"0","Inicial",0,657,0.831358870885973,1.20284997853491
"03","La Matanza","0069JI0985","AMBA","Estatal","Oficial","1.2.Inicial",160,8,"0","Inicial",0,657,0.426337882505627,2.34555745814307
"03","La Matanza","0069JI0995","AMBA","Estatal","Oficial","1.2.Inicial",214,10,"0","Inicial",0,657,0.570226917851277,1.75368781917239
"03","La Matanza","0069JU0002","AMBA","Estatal","Oficial","1.2.Inicial",107,4,"0","Inicial",0,657,0.285113458925638,3.50737563834478
"03","La Matanza","0069JU0008","AMBA","Estatal","Oficial","1.2.Inicial",136,7,"0","Inicial",0,657,0.362387200129783,2.75947936252126
"03","La Matanza","0069JU0015","AMBA","Estatal","Oficial","1.2.Inicial",241,10,"0","Inicial",0,657,0.642171435524101,1.55721656972154
"03","La Matanza","0069JU0020","AMBA","Estatal","Oficial","1.2.Inicial",131,8,"0","Inicial",0,657,0.349064141301482,2.86480300231215
"03","La Matanza","0069JU0026","AMBA","Estatal","Oficial","1.2.Inicial",101,5,"0","Inicial",0,657,0.269125788331677,3.71573458715735
"03","La Matanza","0069JU0030","AMBA","Estatal","Oficial","1.2.Inicial",165,7,"0","Inicial",0,657,0.439660941333928,2.27447995941147
"03","La Matanza","0069JU0035","AMBA","Estatal","Oficial","1.2.Inicial",174,10,"0","Inicial",0,657,0.46364244722487,2.15683444426949
"03","La Matanza","0069JU0038","AMBA","Estatal","Oficial","1.2.Inicial",335,13,"0","Inicial",0,657,0.892644941496157,1.12026624866535
"03","La Matanza","0069JU0039","AMBA","Estatal","Oficial","1.2.Inicial",106,6,"0","Inicial",0,657,0.282448847159978,3.54046408776313
"08","Merlo","0071JI0901","AMBA","Estatal","Oficial","1.2.Inicial",207,14,"0","Inicial",0,657,0.551574635491655,1.81299127199465
"08","Merlo","0071JI0914","AMBA","Estatal","Oficial","1.2.Inicial",305,14,"0","Inicial",0,657,0.812706588526352,1.23045637148489
"08","Merlo","0071JI0940","AMBA","Estatal","Oficial","1.2.Inicial",267,10,"0","Inicial",0,657,0.711451341431266,1.40557750300709
"09","Moreno","0073JU0001","AMBA","Estatal","Oficial","1.2.Inicial",120,8,"0","Inicial",0,657,0.319753411879221,3.12740994419077
"11","Pilar","0083JI0901","AMBA","Estatal","Oficial","1.2.Inicial",267,10,"0","Inicial",0,657,0.711451341431266,1.40557750300709
"11","Pilar","0083JI0927","AMBA","Estatal","Oficial","1.2.Inicial",171,8,"0","Inicial",0,657,0.455648611927889,2.19467364504615
"10","San Andrés de Giles","0093JI0904","AMBA","Estatal","Oficial","1.2.Inicial",77,5,"0","Inicial",0,657,0.205175105955833,4.87388562731028
"08","Morón","0100JI0906","AMBA","Estatal","Oficial","1.2.Inicial",124,10,"0","Inicial",0,657,0.330411858941861,3.02652575244268
"08","Morón","0100JI0930","AMBA","Estatal","Oficial","1.2.Inicial",106,6,"0","Inicial",0,657,0.282448847159978,3.54046408776313
"06","Vicente López","0109JI0901","AMBA","Estatal","Oficial","1.2.Inicial",107,8,"0","Inicial",0,657,0.285113458925638,3.50737563834478
"02","Lanús","0111JI0930","AMBA","Estatal","Oficial","1.2.Inicial",203,10,"0","Inicial",0,657,0.540916188429015,1.84871523794528
"01","Berisso","0113JI0910","AMBA","Estatal","Oficial","1.2.Inicial",227,13,"0","Inicial",0,657,0.604866870804859,1.65325635816252
"11","Escobar","0116JI0912","AMBA","Estatal","Oficial","1.2.Inicial",84,4,"0","Inicial",0,657,0.223827388315454,4.46772849170109
"11","Escobar","0116JI0931","AMBA","Estatal","Oficial","1.2.Inicial",198,8,"0","Inicial",0,657,0.527593129600714,1.89539996617622
"07","Tres de Febrero","0117JI3011","AMBA","Estatal","Oficial","1.2.Inicial",145,6,"0","Inicial",0,657,0.386368706020725,2.58820133312339
"05","Presidente Perón","0129JI0907","AMBA","Estatal","Oficial","1.2.Inicial",273,12,"0","Inicial",0,657,0.727439012025227,1.37468568975418
"09","San Miguel","0131JI0910","AMBA","Estatal","Oficial","1.2.Inicial",160,8,"0","Inicial",0,657,0.426337882505627,2.34555745814307
